Sc0000000	maker	gene	56065	58416	.	+	.	ID=gasp1.m1b.9;Name=gasp1.m1b.9
Sc0000000	maker	gene	59645	63595	.	+	.	ID=gasp1.m1b.11;Name=gasp1.m1b.11
Sc0000000	maker	gene	197599	205166	.	-	.	ID=gasp1.m1b.17;Name=gasp1.m1b.17
Sc0000000	maker	gene	454945	455760	.	+	.	ID=gasp1.m1b.25;Name=gasp1.m1b.25
Sc0000000	maker	gene	415683	420404	.	-	.	ID=gasp1.m1b.27;Name=gasp1.m1b.27
Sc0000000	maker	gene	440800	451923	.	-	.	ID=gasp1.m1b.28;Name=gasp1.m1b.28
Sc0000000	maker	gene	431703	438623	.	-	.	ID=gasp1.m1b.29;Name=gasp1.m1b.29
Sc0000000	maker	gene	629635	636852	.	-	.	ID=gasp1.m1b.43;Name=gasp1.m1b.43
Sc0000000	maker	gene	1058337	1064331	.	+	.	ID=gasp1.m1b.59;Name=gasp1.m1b.59
Sc0000000	maker	gene	1120624	1122915	.	-	.	ID=gasp1.m1b.63;Name=gasp1.m1b.63
Sc0000000	maker	gene	1157586	1157893	.	+	.	ID=gasp1.m1b.65;Name=gasp1.m1b.65
Sc0000000	maker	gene	1486674	1488784	.	+	.	ID=gasp1.m1b.77;Name=gasp1.m1b.77
Sc0000000	maker	gene	1472512	1475702	.	-	.	ID=gasp1.m1b.80;Name=gasp1.m1b.80
Sc0000000	maker	gene	2075289	2076347	.	+	.	ID=gasp1.m1b.107;Name=gasp1.m1b.107
Sc0000000	maker	gene	2062604	2063662	.	+	.	ID=gasp1.m1b.108;Name=gasp1.m1b.108
Sc0000000	maker	gene	2069333	2071256	.	-	.	ID=gasp1.m1b.116;Name=gasp1.m1b.116
Sc0000000	maker	gene	2360222	2362037	.	+	.	ID=gasp1.m1b.133;Name=gasp1.m1b.133
Sc0000000	maker	gene	2681549	2696043	.	+	.	ID=gasp1.m1b.153;Name=gasp1.m1b.153
Sc0000000	maker	gene	2700425	2703987	.	-	.	ID=gasp1.m1b.157;Name=gasp1.m1b.157
Sc0000000	maker	gene	2870022	2870363	.	-	.	ID=gasp1.m1b.166;Name=gasp1.m1b.166
Sc0000000	maker	gene	2801944	2809004	.	-	.	ID=gasp1.m1b.168;Name=gasp1.m1b.168
Sc0000001	maker	gene	117160	118476	.	-	.	ID=gasp1.m1b.181;Name=gasp1.m1b.181
Sc0000001	maker	gene	192942	193682	.	+	.	ID=gasp1.m1b.184;Name=gasp1.m1b.184
Sc0000001	maker	gene	560436	561068	.	+	.	ID=gasp1.m1b.195;Name=gasp1.m1b.195
Sc0000001	maker	gene	743892	747538	.	-	.	ID=gasp1.m1b.204;Name=gasp1.m1b.204
Sc0000001	maker	gene	824138	825086	.	-	.	ID=gasp1.m1b.213;Name=gasp1.m1b.213
Sc0000001	maker	gene	1079609	1081321	.	-	.	ID=gasp1.m1b.224;Name=gasp1.m1b.224
Sc0000001	maker	gene	1280774	1284029	.	+	.	ID=gasp1.m1b.236;Name=gasp1.m1b.236
Sc0000001	maker	gene	1480094	1480390	.	-	.	ID=gasp1.m1b.246;Name=gasp1.m1b.246
Sc0000001	maker	gene	1424685	1425032	.	+	.	ID=gasp1.m1b.248;Name=gasp1.m1b.248
Sc0000001	maker	gene	1588588	1596627	.	+	.	ID=gasp1.m1b.254;Name=gasp1.m1b.254
Sc0000001	maker	gene	1661188	1663274	.	-	.	ID=gasp1.m1b.255;Name=gasp1.m1b.255
Sc0000001	maker	gene	1679646	1679859	.	-	.	ID=gasp1.m1b.257;Name=gasp1.m1b.257
Sc0000001	maker	gene	1761630	1762916	.	+	.	ID=gasp1.m1b.259;Name=gasp1.m1b.259
Sc0000001	maker	gene	1961783	1962625	.	+	.	ID=gasp1.m1b.270;Name=gasp1.m1b.270
Sc0000001	maker	gene	1978709	1981645	.	+	.	ID=gasp1.m1b.271;Name=gasp1.m1b.271
Sc0000001	maker	gene	1966730	1969991	.	-	.	ID=gasp1.m1b.274;Name=gasp1.m1b.274
